iter	RMSE
0	36097.22608
1	34900.20103
2	33907.04511
3	33066.79127
4	32345.88699
5	31754.6562
6	31223.34608
7	30755.41401
8	30379.71459
9	30037.65687
10	29760.12775
11	29498.81513
12	29279.46292
13	29096.15061
14	28930.54156
15	28785.79814
16	28666.43788
17	28549.9958
18	28451.06261
19	28366.01138
20	28288.86597
21	28226.68619
22	28170.12516
23	28121.39278
24	28078.52914
25	28035.64999
26	27993.24116
27	27959.22261
28	27927.89634
29	27888.73131
30	27851.51384
31	27810.09835
32	27775.1875
33	27753.4103
34	27725.50591
35	27690.73846
36	27656.46854
37	27625.32818
38	27601.93404
39	27584.39045
40	27565.11509
41	27529.18775
42	27509.34562
43	27481.69417
44	27457.90206
45	27442.18848
46	27421.45904
47	27399.96612
48	27385.13806
49	27358.83233
50	27333.42682
51	27320.86016
52	27306.27413
53	27289.92078
54	27276.17902
55	27247.50589
56	27237.19742
57	27217.71677
58	27199.27229
59	27178.79643
60	27167.87217
61	27146.00187
62	27131.4579
63	27117.15219
64	27107.39943
65	27097.30989
66	27085.2154
67	27069.4223
68	27054.85634
69	27041.97467
70	27026.13008
71	27014.88303
72	27007.74889
73	26983.63385
74	26970.86799
75	26959.19362
76	26950.70463
77	26938.85408
78	26926.31024
79	26916.98556
80	26905.97407
81	26896.14505
82	26886.00699
83	26872.66913
84	26863.0011
85	26852.48223
86	26843.29321
87	26826.12879
88	26807.26668
89	26798.5309
90	26791.85575
91	26782.48221
92	26774.93462
93	26763.59469
94	26754.49083
95	26746.08902
96	26738.06087
97	26729.3329
98	26720.47542
99	26715.39082
100	26707.60295
101	26698.87593
102	26689.32144
103	26683.48915
104	26669.25713
105	26660.31902
106	26653.67175
107	26647.20083
108	26641.39655
109	26632.59968
110	26625.05859
111	26612.73641
112	26605.03293
113	26597.33056
114	26591.40053
115	26582.83248
116	26574.53067
117	26569.242
118	26564.49959
119	26558.65619
120	26551.89221
121	26544.17682
122	26539.83971
123	26535.82131
124	26527.69083
125	26522.54959
126	26516.39038
127	26509.82786
128	26505.11571
129	26498.31149
130	26491.01774
131	26483.79217
132	26477.70339
133	26471.82719
134	26468.04689
135	26456.38041
136	26449.87597
137	26443.7414
138	26436.15272
139	26430.53252
140	26426.61626
141	26420.66646
142	26416.19834
143	26412.30247
144	26402.9091
145	26395.6158
146	26389.07999
147	26383.27268
148	26376.10137
149	26371.39198
150	26366.35201
151	26364.48934
152	26362.37224
153	26353.61094
154	26347.93504
155	26340.89943
156	26335.81252
157	26328.8724
158	26324.48043
159	26319.63548
160	26313.18288
161	26309.66422
162	26305.21633
163	26303.88023
164	26301.18156
165	26297.74917
166	26292.66438
167	26288.42832
168	26285.25176
169	26280.53299
170	26274.77629
171	26272.93226
172	26265.04028
173	26261.16098
174	26258.76534
175	26254.71628
176	26252.00563
177	26247.37013
178	26242.38411
179	26240.61419
180	26236.88702
181	26234.29891
182	26232.02046
183	26230.55341
184	26227.14595
185	26223.58727
186	26219.08457
187	26215.43182
188	26211.45339
189	26208.75881
190	26206.43255
191	26201.94027
192	26198.86253
193	26195.59855
194	26188.31278
195	26183.22717
196	26181.27976
197	26172.70265
198	26166.42687
199	26161.61074
200	26153.64954
201	26144.85742
202	26139.94091
203	26136.06245
204	26134.73941
205	26129.51735
206	26123.19871
207	26119.55032
208	26115.12637
209	26110.96125
210	26109.02947
211	26104.13263
212	26101.50327
213	26096.61647
214	26094.98477
215	26091.33842
216	26088.10621
217	26085.18268
218	26082.42263
219	26078.68034
220	26077.39675
221	26074.52225
222	26070.2202
223	26066.92128
224	26063.57764
225	26059.7129
226	26058.01858
227	26056.56191
228	26052.98571
229	26051.05978
230	26049.9285
231	26046.42802
232	26044.03967
233	26040.56752
234	26037.85181
235	26033.43119
236	26030.28335
237	26025.15867
238	26023.38712
239	26017.29717
240	26015.57287
241	26011.26715
242	26010.20664
243	26007.34911
244	26002.49073
245	25999.43205
246	25998.0311
247	25995.52993
248	25991.64581
249	25989.54997
250	25987.00428
251	25981.77288
252	25973.08773
253	25968.45359
254	25967.27874
255	25964.82342
256	25963.74274
257	25960.77901
258	25960.66287
259	25956.58164
260	25953.53431
261	25951.24454
262	25948.91396
263	25945.0491
264	25942.38613
265	25941.64768
266	25937.86412
267	25934.84192
268	25932.86774
269	25930.78413
270	25926.8359
271	25924.92466
272	25921.29749
273	25917.36767
274	25915.63558
275	25914.58554
276	25913.61983
277	25910.6033
278	25907.75698
279	25904.89136
280	25900.75892
281	25899.56111
282	25898.29953
283	25890.89717
284	25888.98105
285	25886.89262
286	25883.49391
287	25880.37885
288	25877.18224
289	25873.66986
290	25871.50372
