iter	Passed	Remaining
0	184	184276
1	323	161413
2	444	147575
3	558	139063
4	659	131291
5	761	126213
6	891	126424
7	994	123338
8	1109	122182
9	1212	120078
10	1321	118827
11	1449	119381
12	1596	121208
13	1714	120757
14	1835	120510
15	1947	119791
16	2066	119515
17	2212	120708
18	2352	121488
19	2450	120058
20	2546	118727
21	2665	118493
22	2784	118298
23	2927	119061
24	3060	119369
25	3197	119784
26	3334	120179
27	3484	120960
28	3620	121238
29	3771	121947
30	3935	123011
31	4090	123726
32	4243	124347
33	4395	124876
34	4542	125256
35	4670	125065
36	4809	125187
37	4920	124578
38	5071	124961
39	5205	124927
40	5332	124719
41	5464	124640
42	5603	124705
43	5770	125383
44	5917	125590
45	6047	125418
46	6218	126082
47	6341	125763
48	6465	125479
49	6608	125562
50	6725	125148
51	6855	124980
52	6985	124823
53	7132	124952
54	7296	125362
55	7451	125606
56	7600	125747
57	7727	125500
58	7919	126304
59	8118	127189
60	8363	128743
61	8680	131322
62	8959	133250
63	9082	132828
64	9202	132369
65	9351	132337
66	9488	132128
67	9608	131696
68	9717	131114
69	9839	130728
70	9962	130351
71	10103	130219
72	10230	129915
73	10375	129836
74	10515	129692
75	10648	129465
76	10788	129317
77	10928	129178
78	11081	129184
79	11217	129006
80	11335	128612
81	11473	128448
82	11633	128527
83	11754	128177
84	11884	127938
85	12040	127965
86	12195	127981
87	12333	127816
88	12464	127587
89	12580	127200
90	12726	127121
91	12872	127042
92	12987	126658
93	13118	126436
94	13231	126050
95	13390	126089
96	13538	126031
97	13668	125803
98	13812	125708
99	13926	125338
100	14057	125128
101	14188	124910
102	14323	124736
103	14435	124365
104	14566	124157
105	14666	123699
106	14771	123279
107	14901	123074
108	15021	122788
109	15163	122688
110	15285	122420
111	15425	122305
112	15552	122076
113	15664	121742
114	15798	121579
115	15943	121497
116	16084	121388
117	16208	121151
118	16309	120743
119	16464	120738
120	16593	120541
121	16742	120494
122	16874	120316
123	17006	120145
124	17160	120125
125	17294	119962
126	17407	119659
127	17522	119369
128	17646	119148
129	17761	118862
130	17892	118693
131	18017	118479
132	18151	118328
133	18292	118219
134	18424	118056
135	18564	117942
136	18711	117871
137	18856	117782
138	19001	117699
139	19153	117657
140	19283	117480
141	19416	117321
142	19562	117237
143	19695	117081
144	19818	116860
145	19968	116804
146	20116	116730
147	20275	116723
148	20427	116670
149	20592	116688
150	20731	116565
151	20871	116442
152	20972	116100
153	21097	115899
154	21219	115680
155	21353	115530
156	21461	115233
157	21607	115150
158	21708	114824
159	21850	114714
160	21980	114544
161	22123	114440
162	22288	114451
163	22417	114276
164	22579	114266
165	22723	114167
166	22870	114079
167	22991	113861
168	23118	113676
169	23227	113405
170	23383	113362
171	23525	113249
172	23677	113188
173	23818	113067
174	23954	112927
175	24097	112822
176	24241	112717
177	24393	112650
178	24535	112536
179	24651	112302
180	24783	112140
181	24919	112000
182	25030	111749
183	25146	111518
184	25286	111398
185	25433	111304
186	25587	111245
187	25740	111175
188	25910	111183
189	26053	111069
190	26204	110990
191	26358	110927
192	26503	110819
193	26643	110694
194	26810	110679
195	26969	110630
196	27125	110565
197	27256	110402
198	27393	110263
199	27524	110097
200	27690	110074
201	27841	109988
202	27989	109889
203	28143	109815
204	28281	109678
205	28443	109632
206	28571	109456
207	28701	109285
208	28857	109215
209	29022	109180
210	29168	109069
211	29308	108937
212	29443	108788
213	29582	108652
214	29708	108469
215	29847	108335
216	30010	108285
217	30148	108146
218	30250	107878
219	30370	107678
220	30481	107445
221	30639	107377
222	30782	107256
223	30934	107165
224	31094	107102
225	31221	106927
226	31364	106805
227	31503	106671
228	31657	106584
229	31817	106517
230	31955	106380
231	32120	106328
232	32275	106246
233	32407	106085
234	32554	105974
235	32684	105808
236	32807	105620
237	32982	105600
238	33103	105405
239	33268	105349
240	33429	105281
241	33569	105146
242	33695	104969
243	33828	104814
244	34000	104777
245	34166	104722
246	34300	104566
247	34425	104386
248	34561	104238
249	34729	104189
250	34906	104162
251	35074	104108
252	35245	104064
253	35404	103984
254	35580	103951
255	35747	103890
256	35892	103766
257	36019	103591
258	36119	103339
259	36261	103204
260	36391	103038
261	36515	102856
262	36651	102707
263	36789	102564
264	36936	102446
265	37066	102282
266	37208	102150
267	37359	102041
268	37481	101854
269	37618	101709
270	37777	101623
271	37879	101384
272	38036	101291
273	38200	101216
274	38318	101022
275	38410	100757
276	38544	100605
277	38703	100517
278	38826	100337
279	38993	100269
280	39134	100133
281	39245	99923
282	39374	99758
283	39508	99605
284	39645	99460
285	39775	99298
286	39941	99226
287	40103	99145
288	40253	99031
289	40384	98872
290	40507	98692
291	40671	98615
